Brand,Model,Year,Mileage,EngineSize,FuelType,Color,Region,ConditionDesc,SellerType,Price
Hyundai,Sonata,2014.0,207869.0,4.587061698505701,Hybrid,Gray,Daegu,no major problems,Private,1124
Hyundai,Tucson,2011.0,65953.0,1.3209349826465688,Diesel,Blue,Seoul,minor scratch on bumper,Dealer,1096
BMW,3-Series,2024.0,,3.0980455582810187,Gasoline,Blue,Incheon,perfect condition,Dealer,2097
BMW,X5,2011.0,3267.0,2.641587307958646,Gasoline,Blue,Daegu,engine issue,Dealer,1715
Mercedes,GLE,2020.0,82745.0,4.929514467634426,Gasoline,Black,Daegu,worn tires,Dealer,2537
BMW,3-Series,2014.0,157164.0,1.4481556086722094,Diesel,Blue,Incheon,needs painting,Dealer,1499
Mercedes,GLC,2006.0,11338.0,2.5914223961829665,Gasoline,Silver,Daegu,nan,Dealer,1818
Ford,Explorer,2024.0,131484.0,4.877881733101475,Gasoline,White,Seoul,no major problems,Dealer,1775
BMW,3-Series,2001.0,7543.0,4.462028503575921,Diesel,Blue,Seoul,dashboard damage,Private,1451
BMW,X3,1996.0,60692.0,4.268288283797119,Gasoline,Gray,Incheon,like new,Private,1307
Hyundai,Avante,1997.0,220156.0,2.0316113081797593,Diesel,White,Daejeon,needs painting,Dealer,352
Hyundai,Sonata,2011.0,223992.0,1.6835503495602633,Gasoline,Black,Busan,slight dent,Dealer,818
Hyundai,Avante,1999.0,38756.0,3.674572879697724,Gasoline,Gray,Daejeon,accident history,Private,860
BMW,X5,2011.0,18888.0,4.717503956510344,Diesel,White,Daegu,worn tires,Private,1719
Ford,Explorer,2018.0,166807.0,3.227051572055719,Gasoline,Gray,Busan,like new,Dealer,1411
Hyundai,Tucson,2011.0,114352.0,3.2864507578795994,Diesel,Black,Incheon,accident history,Private,1106
Mercedes,C-Class,2021.0,85999.0,2.1199163746411367,Gasoline,Silver,Incheon,worn tires,Private,2020
BMW,X5,2011.0,17955.0,4.077971732767748,Gasoline,Black,Busan,dashboard damage,Private,1811
Mercedes,GLC,1996.0,299985.0,1.7481749942300935,Hybrid,Black,Seoul,minor scratch on bumper,Private,417
BMW,X3,1996.0,70640.0,2.2947169456169747,Diesel,Gray,Busan,dashboard damage,Private,927
BMW,3-Series,2022.0,196582.0,2.701745754465667,Diesel,Red,Daegu,regular maintenance done,Private,1675
Kia,Morning,2016.0,219798.0,3.03044151473782,Gasoline,Blue,Seoul,needs painting,Dealer,960
Ford,Explorer,2017.0,61476.0,1.969638929660321,Diesel,Blue,Incheon,perfect condition,Dealer,1632
BMW,X3,1999.0,167280.0,1.4593472989568141,Gasoline,Silver,Busan,worn tires,Dealer,826
Hyundai,Sonata,1995.0,151222.0,3.4424801697665304,Gasoline,Silver,Daejeon,dashboard damage,Dealer,523
BMW,X5,1995.0,71180.0,2.154522212961023,Hybrid,Blue,Daejeon,perfect condition,Private,964
Mercedes,GLE,2013.0,174358.0,3.324952885690449,Gasoline,Red,Daegu,regular maintenance done,Private,1647
Kia,K5,2024.0,112856.0,1.6174508610968092,EV,Blue,Daejeon,no major problems,Dealer,1587
Hyundai,Tucson,1996.0,186141.0,2.92456040741927,Gasoline,Red,Busan,slight dent,Private,537
Ford,Explorer,2015.0,110448.0,3.1303577302063434,Gasoline,Silver,Busan,needs painting,Dealer,1501
Hyundai,Sonata,2006.0,14397.0,1.2072941472897076,Diesel,White,Daejeon,regular maintenance done,Dealer,991
BMW,X5,2020.0,178031.0,2.3464171127756823,Hybrid,Gray,Busan,regular maintenance done,Dealer,1755
Kia,K5,2000.0,119180.0,1.537658707755897,Diesel,Silver,Daegu,dashboard damage,Private,585
Mercedes,GLE,2017.0,66234.0,1.253499881891071,Hybrid,Silver,Seoul,minor scratch on bumper,Private,2163
Hyundai,Tucson,1998.0,39954.0,4.959840929559781,Diesel,Black,Daegu,accident history,Dealer,937
Ford,Focus,2017.0,178352.0,2.289415379898892,Diesel,Black,Daegu,slight dent,Private,1166
Kia,Sorento,2005.0,79459.0,4.239497783418539,Hybrid,Black,Busan,needs painting,Dealer,1045
Hyundai,Tucson,2018.0,195004.0,2.0185626190550554,Gasoline,Gray,Seoul,no major problems,Dealer,1265
Mercedes,C-Class,2021.0,200968.0,3.726010888895717,Gasoline,Black,Busan,no major problems,Dealer,1947
Ford,Escape,2011.0,59163.0,4.040911439558746,Gasoline,Red,Incheon,engine issue,Private,1489
